
Merchant Name,Ranch Milk
Payment Period,08-12-2023 to 08-18-2023

Fonda
Number of Orders,34
Sub Total,580.04
Tax,53.66
Commission,-21.37
Processing Fee,13.52
Promo Discount,-3.3
Square Fee,0.0
Error Charges,0.0
Adjustments,0.0
Uber Eats Market Place Facilitator Tax,0.0
Revenue Processing Fee,17.4012
Marketing Fee,None
Staff Tips,22.78
Monthly Recurring Fee,-0.0
Net Payout,590.0187999999999



Uber Eats Orders
Number of Orders,0
Sub Total,0.0
Tax,0.0
Commission,0.0
Processing Fee,0.0
Promo Discount,0.0
Square Fee,0.0
Error Charges,0.0
Adjustments,0.0
Refunds for system duplicate,0.00
Staff Tips,0.0
Uber Eats Market Place Facilitator Tax,0.0
Revenue Processing Fee,0.0
Net Payout,0.0
